@RELATION Real_estate_valuation_data_set_unseen

@ATTRIBUTE x1transactiondate REAL
@ATTRIBUTE x2houseage REAL
@ATTRIBUTE x3distancetothenearestmrtstation REAL
@ATTRIBUTE x4numberofconveniencestores REAL
@ATTRIBUTE x5latitude REAL
@ATTRIBUTE x6longitude REAL
@ATTRIBUTE yhousepriceofunitarea REAL

@DATA
2013.25,26.8,482.7581,5,24.97433,121.53863,?
2013.083,7.6,2175.03,3,24.96305,121.51254,?
2012.833,12.7,187.4823,1,24.97388,121.52981,?
2012.667,30.9,161.942,9,24.98353,121.53966,?
2013.333,16.4,289.3248,5,24.98203,121.54348,?
2012.667,23,130.9945,6,24.95663,121.53765,?
2013.167,1.9,372.1386,7,24.97293,121.54026,?
2013,5.2,2408.993,0,24.95505,121.55964,?
2013.417,18.5,2175.744,3,24.9633,121.51243,?
2013,13.7,4082.015,0,24.94155,121.50381,?
2012.667,5.6,90.45606,9,24.97433,121.5431,?
2013.25,18.8,390.9696,7,24.97923,121.53986,?
2013,8.1,104.8101,5,24.96674,121.54067,?
2013.5,6.5,90.45606,9,24.97433,121.5431,?
